id,title,body,category,screens,keywords,priority
item_001,歩留まりとは？,"歩留まりとは、採用プロセスにおける各段階の通過率を示す指標です。

計算式: 次ステップ通過数 ÷ 現ステップ数 × 100

例えば、書類選考に100名応募があり、20名が1次面接に進んだ場合、書類選考の歩留まりは20%となります。",glossary,yield_personal|yield_company|yield_admin,歩留まり|通過率|指標|計算|パーセント,100
item_002,グラフが表示されない,"グラフが表示されない場合は、以下をご確認ください：

1. データが登録されているか
   - 対象期間にデータがない場合、グラフは表示されません

2. 期間設定が正しいか
   - 右上の期間フィルターを確認してください

3. ブラウザのキャッシュをクリア
   - Ctrl + Shift + Delete でキャッシュを削除

上記で解決しない場合は、管理者にお問い合わせください。",error,yield_personal|yield_company,グラフ|表示されない|エラー|空白|データなし,95
item_003,データの更新頻度は？,"データは以下のタイミングで更新されます：

- リアルタイム更新: ステータス変更時に即時反映
- 集計データ: 毎日午前3時に前日分を集計
- グラフ表示: ページ読み込み時に最新データを取得

最新データを確認したい場合は、ブラウザを再読み込み（F5）してください。",faq,,更新|頻度|タイミング|いつ|同期,90
item_004,グラフの見方,"歩留まりグラフの見方：

■ 横軸: 選考ステップ（応募 → 書類 → 1次 → 最終 → 内定）
■ 縦軸: 人数またはパーセンテージ
■ 色分け:
  - 青: 通過
  - グレー: 不通過/辞退

■ マウスオーバー: 詳細数値を表示
■ クリック: ステップ別の詳細画面へ",howto,yield_personal|yield_company,グラフ|見方|使い方|軸|凡例,85
item_005,ファネルとは？,"ファネル（漏斗）とは、採用プロセスを上から下へ流れる形で可視化した図です。

応募（広い）
　↓
書類選考
　↓
面接
　↓
内定（狭い）

上が広く下が狭くなる漏斗の形に似ていることから「ファネル」と呼ばれます。",glossary,,ファネル|漏斗|図|可視化|プロセス,80
item_006,CSVでデータをエクスポートしたい,"データのCSVエクスポート手順：

1. 画面右上の「︙」メニューをクリック
2. 「データエクスポート」を選択
3. エクスポート対象を選択:
   - 現在の表示データ
   - 期間指定データ
4. 「CSV形式でダウンロード」をクリック

※ 大量データの場合、準備に時間がかかることがあります。",howto,,CSV|エクスポート|ダウンロード|出力|データ,75
item_007,通知設定を変更したい,"通知設定の変更手順：

1. 右上のプロフィールアイコンをクリック
2. 「設定」を選択
3. 「通知設定」タブを開く
4. 受け取りたい通知をON/OFF
5. 「保存」をクリック

設定可能な通知：
- 日次レポート
- 週次サマリー
- 異常値アラート",howto,settings_main,通知|設定|変更|メール|アラート,70
item_008,メンバーを招待したい,"新しいメンバーの招待手順：

1. サイドメニューから「メンバー」を選択
2. 右上の「メンバーを招待」ボタンをクリック
3. 招待するメンバーのメールアドレスを入力
4. 権限レベルを選択:
   - 閲覧者: データ閲覧のみ
   - 編集者: データ編集可能
   - 管理者: 全機能利用可能
5. 「招待を送信」をクリック

招待メールは24時間有効です。",howto,members_list,招待|メンバー|追加|ユーザー|権限,70
item_009,ログインできない,"ログインできない場合の対処法：

1. メールアドレスの確認
   - 会社のメールアドレスを使用しているか確認

2. パスワードリセット
   - ログイン画面の「パスワードを忘れた」から再設定

3. ブラウザの確認
   - Chrome / Edge / Safari の最新版を使用
   - Cookie がブロックされていないか確認

4. 社内ネットワークの確認
   - VPN接続が必要な場合があります

上記で解決しない場合は、IT管理者にお問い合わせください。",error,,ログイン|できない|パスワード|エラー|認証,100
item_010,問い合わせ先,"お問い合わせ先：

■ 一般的なご質問
  support@example.com

■ 技術的なお問い合わせ
  tech-support@example.com

■ 緊急のお問い合わせ
  Slackチャンネル: #system-support

対応時間: 平日 9:00 - 18:00",general,,問い合わせ|連絡先|サポート|ヘルプ|メール,50
item_011,自分のデータだけ見たい,"自分のデータのみ表示する方法：

1. 画面左上のフィルターアイコンをクリック
2. 「担当者」で自分の名前を選択
3. 「適用」をクリック

フィルターは画面を離れるとリセットされます。
常に自分のデータを表示したい場合は「デフォルト設定」で保存できます。",faq,yield_personal,自分|フィルター|担当者|絞り込み,85
item_012,企業別歩留まりの見方,"企業別歩留まり画面では、取引先企業ごとの採用パフォーマンスを比較できます。

■ 表示内容
- 企業名
- 紹介数
- 内定数
- 歩留まり率

■ ソート
- 各列のヘッダーをクリックで並び替え

■ フィルター
- 期間、業種、担当者で絞り込み可能",howto,yield_company,企業|取引先|比較|一覧|ソート,90
item_013,通知が届かない,"通知が届かない場合の対処法：

1. 通知設定を確認
   - 設定画面で該当の通知がONになっているか確認

2. 迷惑メールフォルダを確認
   - 通知メールが迷惑メールに振り分けられている可能性

3. メールアドレスを確認
   - プロフィールのメールアドレスが正しいか確認

4. Slackの場合
   - Slack連携が有効になっているか確認
   - @notifications がチャンネルに招待されているか確認",faq,settings_main,通知|届かない|メール|Slack,85
item_014,招待メールが届かない,"招待メールが届かない場合：

1. 迷惑メールフォルダを確認
   - 招待メールが迷惑メールに振り分けられている可能性

2. メールアドレスを確認
   - 正しいメールアドレスで招待されているか確認

3. 再送する
   - メンバー一覧から該当ユーザーを選択
   - 「招待を再送」をクリック

招待メールは24時間で期限切れになります。
期限切れの場合は再度招待してください。",faq,members_list,招待|メール|届かない|再送,80
